Tarih,KT1,KT2,KT3,KT4,KT5,KT6,KT7,KT8,KT9,KT10,KT11,KT12,KT13,KT14,KT15,KT16,KT17,KT18,KT19,KT20
8.04.2022,50607769,133038,4119259,3645768,836918,3660674,3283489,2222805,3198415,576591,32448,521457,10606990,1478196,1840681,1139609,813268,2059521,1048904,1985023
15.04.2022,53758588,139945,4712550,3678895,824908,3927269,4218442,2320211,3429895,678035,46059,604257,10253028,1655482,1993399,1249968,810225,2475292,1029071,2133874
22.04.2022,55486930,130773,4167571,3780677,921067,4386932,4563529,2289314,3421601,692352,41583,731880,10918575,1693530,2153000,1278376,732581,2522595,1136984,2125752
29.04.2022,60799214,155046,4835670,4137193,995964,4077206,5913485,2225699,3543045,690804,43863,791206,11302988,1838367,2059065,1457239,705526,2756242,1974604,2159777
6.05.2022,48794497,159274,4853201,3654181,684510,3243453,5499156,1945069,2723352,999148,88174,668972,9508863,1372788,1343278,1090648,677824,3149229,924814,1536523
13.05.2022,63710778,186079,5260629,4615739,954666,4618388,4531172,3064052,3991051,975735,83856,1058680,11857285,2069698,2160008,1409107,885843,3267898,1405936,2647930
20.05.2022,64059742,180296,5443937,4619198,928031,4189997,4422889,2977293,3686958,1043772,91053,906782,12501678,2003671,2291143,1404104,803109,3450967,2222007,2342786
27.05.2022,65954255,177626,5919427,4366284,925536,4538370,4168376,2937810,3779182,1124180,85898,933743,12356842,1935339,2172374,1446444,820081,3317478,3256466,2393426
3.06.2022,69634322,194517,5594175,4563141,1172750,4455875,4334634,3029119,4191374,1189460,87497,849654,12637988,2071735,2170801,1639031,744136,3385644,4462734,2574879
10.06.2022,68072555,224538,7174083,4427206,1107806,4488292,4732571,3186371,3997802,1227483,96150,836187,12872974,1987908,2164509,1735928,971594,3534252,1255898,2481427
17.06.2022,69404363,220383,6000047,4550006,1271538,4774239,5103700,3086296,4001899,1309396,98977,1077577,13042430,2005302,2431741,1949016,806470,3657420,1244667,2897349
24.06.2022,69185680,231752,5850943,4628420,1246346,4467582,5470963,2959710,3790316,1493672,101399,1174907,13248232,1920129,2336904,2092962,802601,3783951,1372547,2675199
1.07.2022,76432288,259298,6538627,4744259,1701680,4849976,5258717,2895950,4220067,1620542,106217,1285272,13931626,2341070,2358209,2140811,765067,3749735,2597176,3157167
8.07.2022,80351810,330729,7738934,5396607,1321930,4552621,6941531,2888193,4023748,1762190,109914,1439853,15517616,2162208,2411533,2225977,989564,4045080,1510388,3164249
15.07.2022,49937715,238067,5642299,3599856,681421,2962155,4065471,2507692,2538019,1960468,133859,680199,10177996,1138192,1306781,1640156,709160,3659275,689134,1546269
22.07.2022,73657901,295632,6506538,5065572,1323958,4578564,4611487,2750991,4353643,2043204,118397,1201641,14109984,2020510,2713556,2135426,936307,3919732,2271022,3038016
29.07.2022,78711961,296839,6516310,4833030,1428638,4821472,4739847,2613075,4308477,2087040,123877,1269362,14241974,2138227,2624387,2226818,1097469,4095274,5801000,2903474
5.08.2022,76850828,325626,6178226,4793380,1420025,5067388,4920672,2557593,4656018,2220211,127192,1265122,14400750,2171049,2534938,2169456,974248,4273117,3674898,2897403
12.08.2022,76252896,327379,6757767,4650796,1483301,3916811,5243818,2492618,4243909,2325785,142670,1152276,14886042,2114821,2570689,2216048,1678639,4429550,1166068,4722874
19.08.2022,78220353,306686,6578817,4777486,2033674,4458515,5256404,2637678,4145683,2309038,141405,1123355,15023746,2192553,2829408,2356561,1673035,4552364,1930625,4282015
26.08.2022,79090902,281246,6530500,5117825,3846189,4406191,5362112,2375780,4068555,2218148,134317,1193907,14729050,2106955,2609344,2236769,1698623,4508163,1751838,4344294
2.09.2022,79672322,274738,6062909,5004468,2610500,4439513,5435355,2248454,4523695,2114195,132134,1135371,15185238,2389921,2455487,2132936,1740361,4558931,1667165,4984463
9.09.2022,83498044,298032,6997979,5424260,3561728,5033616,6314558,2370131,4545509,1911202,125649,1186279,15906303,2260687,2616695,2101744,1813761,4532024,1145839,5101390
16.09.2022,82119125,259193,6032117,5353370,3585019,4829955,6237256,2380838,4563043,1677277,122096,1072147,16193558,2378535,2789543,1878055,1848504,4392324,1222672,4825421
23.09.2022,80007230,250915,6244541,5182538,2582836,4821219,5994665,2297964,4383010,1590591,116681,1030311,15995487,2305489,2924070,1727500,1663625,4422833,1348653,4625790
30.09.2022,85241748,234658,5979792,5290037,2505889,4987882,6304391,2264166,5118889,1517825,113102,1092258,16070596,2677383,2889494,1692741,1791557,4429813,2728506,5188659
7.10.2022,82590995,246507,7205163,5219458,1800067,4787670,6201254,2253200,4885681,1485470,114137,1162329,16430427,2391536,2770767,1630483,1776894,4551781,1280937,4968255
14.10.2022,83012188,243119,6531504,5721278,1597094,6482142,7077790,2180224,5287489,1418893,114061,1144704,16371369,2552640,2842891,1600345,1057701,4506690,1368431,3078887
21.10.2022,84299510,223037,6070079,5743767,1577779,6719955,7394012,2246545,5140493,1313079,116529,1149907,17130891,2650195,3214003,1553380,1036293,4575966,1504346,2994143
